wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,1,1,0,50,0,0,0.07,13.37,13686
0,1,1,1,0,100,0,0,0.07,13.53,13859
0,1,1,1,50,0,0,0,0.02,58.20,59594
0,1,1,1,50,50,0,0,0.07,13.32,13644
0,1,1,1,50,100,0,0,0.07,13.52,13844
0,1,1,1,100,0,0,0,0.02,58.74,60150
0,1,1,1,100,50,0,0,0.07,13.37,13689
0,1,1,1,100,100,0,0,0.07,13.53,13859
0,1,1,4,0,50,0,0,0.08,49.72,12729
0,1,1,4,0,100,0,0,0.08,50.12,12830
0,1,1,4,50,0,0,0,0.02,182.90,46823
0,1,1,4,50,50,0,0,0.08,49.74,12734
0,1,1,4,50,100,0,0,0.08,50.14,12836
0,1,1,4,100,0,0,0,0.02,182.97,46841
0,1,1,4,100,50,0,0,0.08,49.75,12735
0,1,1,4,100,100,0,0,0.08,50.13,12833
0,1,1,16,0,50,0,0,0.10,154.19,9868
0,1,1,16,0,100,0,0,0.10,156.43,10011
0,1,1,16,50,0,0,0,0.04,355.51,22752
0,1,1,16,50,50,0,0,0.10,154.43,9883
0,1,1,16,50,100,0,0,0.10,156.40,10010
0,1,1,16,100,0,0,0,0.04,355.97,22782
0,1,1,16,100,50,0,0,0.10,154.19,9868
0,1,1,16,100,100,0,0,0.10,156.39,10009
0,1,1,64,0,50,0,0,0.21,298.43,4775
0,1,1,64,0,100,0,0,0.21,299.22,4787
0,1,1,64,50,0,0,0,0.14,434.47,6951
0,1,1,64,50,50,0,0,0.21,298.38,4774
0,1,1,64,50,100,0,0,0.21,298.76,4780
0,1,1,64,100,0,0,0,0.14,434.67,6955
0,1,1,64,100,50,0,0,0.21,298.92,4783
0,1,1,64,100,100,0,0,0.21,298.55,4777
0,1,1,256,0,50,0,0,0.60,416.41,1665
0,1,1,256,0,100,0,0,0.60,416.91,1667
0,1,1,256,50,0,0,0,0.53,468.96,1876
