wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,1,1,0,0,0,0,0.02,57.26,58635
0,1,1,4,0,0,0,0,0.02,182.90,46823
0,1,1,16,0,0,0,0,0.04,356.34,22806
0,1,1,64,0,0,0,0,0.14,441.16,7058
0,1,1,256,0,0,0,0,0.53,470.91,1883
0,1,4,1,0,0,0,0,0.02,58.42,59818
0,1,4,4,0,0,0,0,0.02,183.17,46890
0,1,4,16,0,0,0,0,0.04,356.16,22794
0,1,4,64,0,0,0,0,0.14,435.76,6972
0,1,4,256,0,0,0,0,0.53,467.62,1870
0,1,16,1,0,0,0,0,0.02,58.10,59492
0,1,16,4,0,0,0,0,0.02,183.18,46894
0,1,16,16,0,0,0,0,0.04,356.88,22840
0,1,16,64,0,0,0,0,0.14,435.14,6962
0,1,16,256,0,0,0,0,0.54,466.12,1864
0,1,64,1,0,0,0,0,0.02,58.49,59891
0,1,64,4,0,0,0,0,0.02,183.21,46901
0,1,64,16,0,0,0,0,0.04,356.29,22802
0,1,64,64,0,0,0,0,0.14,435.03,6960
0,1,64,256,0,0,0,0,0.54,466.80,1867
0,1,256,1,0,0,0,0,0.02,58.32,59715
0,1,256,4,0,0,0,0,0.02,183.24,46910
0,1,256,16,0,0,0,0,0.04,356.47,22814
0,1,256,64,0,0,0,0,0.14,434.17,6947
0,1,256,256,0,0,0,0,0.54,465.36,1861
0,4,1,1,0,0,0,0,0.04,101.65,104093
0,4,1,4,0,0,0,0,0.04,382.97,98039
0,4,1,16,0,0,0,0,0.13,489.07,31300
0,4,1,64,0,0,0,0,0.48,519.76,8315
0,4,1,256,0,0,0,0,1.90,526.40,2105
0,4,4,1,0,0,0,0,0.04,86.44,88516
0,4,4,4,0,0,0,0,0.04,382.96,98037
0,4,4,16,0,0,0,0,0.13,488.60,31270
0,4,4,64,0,0,0,0,0.48,519.92,8318
0,4,4,256,0,0,0,0,1.90,526.40,2105
0,4,16,1,0,0,0,0,0.05,80.24,82162
0,4,16,4,0,0,0,0,0.04,382.83,98003
0,4,16,16,0,0,0,0,0.13,488.57,31267
0,4,16,64,0,0,0,0,0.48,519.72,8315
0,4,16,256,0,0,0,0,1.90,526.36,2105
0,4,64,1,0,0,0,0,0.04,89.85,92003
0,4,64,4,0,0,0,0,0.04,382.96,98037
0,4,64,16,0,0,0,0,0.13,488.65,31273
0,4,64,64,0,0,0,0,0.48,519.81,8316
0,4,64,256,0,0,0,0,1.90,526.40,2105
0,4,256,1,0,0,0,0,0.05,75.87,77694
0,4,256,4,0,0,0,0,0.04,382.61,97948
0,4,256,16,0,0,0,0,0.13,489.02,31297
0,4,256,64,0,0,0,0,0.48,519.79,8316
0,4,256,256,0,0,0,0,1.90,526.35,2105
0,16,1,1,0,0,0,0,0.09,178.84,183126
0,16,1,4,0,0,0,0,0.16,383.33,98129
0,16,1,16,0,0,0,0,0.51,489.72,31339
0,16,1,64,0,0,0,0,1.92,520.20,8320
0,16,1,256,0,0,0,0,7.57,529.46,2115
0,16,4,1,0,0,0,0,0.09,178.74,183028
0,16,4,4,0,0,0,0,0.16,383.26,98111
0,16,4,16,0,0,0,0,0.51,489.68,31336
0,16,4,64,0,0,0,0,1.92,520.72,8328
0,16,4,256,0,0,0,0,7.56,530.16,2117
0,16,16,1,0,0,0,0,0.09,178.67,182951
0,16,16,4,0,0,0,0,0.16,383.29,98119
0,16,16,16,0,0,0,0,0.51,489.72,31339
0,16,16,64,0,0,0,0,1.92,521.08,8334
0,16,16,256,0,0,0,0,7.55,530.26,2118
0,16,64,1,0,0,0,0,0.09,178.79,183077
0,16,64,4,0,0,0,0,0.16,383.34,98132
0,16,64,16,0,0,0,0,0.51,489.71,31338
0,16,64,64,0,0,0,0,1.92,521.21,8336
