wr_ratio,qdep,wrsz,rdsz,wrnd,rrnd,wr_stride,rd_stride,lat,bw,iops
0,1,1,1,0,0,0,64,0.07,13.59,13911
0,1,1,1,0,0,0,128,0.07,13.60,13925
0,1,1,1,0,0,0,256,0.07,13.54,13865
0,1,1,1,0,0,64,0,0.02,58.28,59679
0,1,1,1,0,0,64,64,0.07,13.58,13901
0,1,1,1,0,0,64,128,0.07,13.59,13920
0,1,1,1,0,0,64,256,0.07,13.55,13874
0,1,1,1,0,0,128,0,0.02,58.24,59636
0,1,1,1,0,0,128,64,0.07,13.58,13902
0,1,1,1,0,0,128,128,0.07,13.55,13874
0,1,1,1,0,0,128,256,0.07,13.60,13927
0,1,1,1,0,0,256,0,0.02,59.13,60551
0,1,1,1,0,0,256,64,0.07,13.69,14021
0,1,1,1,0,0,256,128,0.07,13.62,13943
0,1,1,1,0,0,256,256,0.07,13.66,13985
0,1,1,4,0,0,0,64,0.08,50.39,12899
0,1,1,4,0,0,0,128,0.08,50.26,12865
0,1,1,4,0,0,0,256,0.08,50.38,12897
0,1,1,4,0,0,64,0,0.02,183.20,46899
0,1,1,4,0,0,64,64,0.08,50.30,12875
0,1,1,4,0,0,64,128,0.08,50.29,12874
0,1,1,4,0,0,64,256,0.08,50.40,12903
0,1,1,4,0,0,128,0,0.02,183.25,46911
0,1,1,4,0,0,128,64,0.08,50.28,12872
0,1,1,4,0,0,128,128,0.08,50.30,12876
0,1,1,4,0,0,128,256,0.08,50.40,12902
0,1,1,4,0,0,256,0,0.02,183.39,46949
0,1,1,4,0,0,256,64,0.08,50.27,12870
0,1,1,4,0,0,256,128,0.08,50.28,12872
0,1,1,4,0,0,256,256,0.08,50.39,12900
0,1,1,16,0,0,0,64,0.10,157.07,10053
0,1,1,16,0,0,0,128,0.10,157.25,10064
0,1,1,16,0,0,0,256,0.10,158.18,10123
0,1,1,16,0,0,64,0,0.04,354.77,22705
0,1,1,16,0,0,64,64,0.10,156.97,10046
0,1,1,16,0,0,64,128,0.10,156.97,10046
0,1,1,16,0,0,64,256,0.10,157.55,10083
0,1,1,16,0,0,128,0,0.04,355.15,22730
0,1,1,16,0,0,128,64,0.10,156.57,10020
0,1,1,16,0,0,128,128,0.10,156.62,10024
0,1,1,16,0,0,128,256,0.10,157.38,10072
0,1,1,16,0,0,256,0,0.04,356.16,22794
0,1,1,16,0,0,256,64,0.10,156.50,10016
0,1,1,16,0,0,256,128,0.10,156.57,10020
0,1,1,16,0,0,256,256,0.10,157.13,10056
0,1,1,64,0,0,0,64,0.21,299.16,4786
0,1,1,64,0,0,0,128,0.21,298.40,4774
0,1,1,64,0,0,0,256,0.21,298.50,4776
0,1,1,64,0,0,64,0,0.14,433.85,6941
0,1,1,64,0,0,64,64,0.21,298.93,4783
0,1,1,64,0,0,64,128,0.21,298.14,4770
0,1,1,64,0,0,64,256,0.21,297.88,4766
0,1,1,64,0,0,128,0,0.14,433.50,6936
0,1,1,64,0,0,128,64,0.21,298.94,4783
0,1,1,64,0,0,128,128,0.21,299.47,4791
0,1,1,64,0,0,128,256,0.21,297.77,4764
0,1,1,64,0,0,256,0,0.14,433.37,6934
0,1,1,64,0,0,256,64,0.21,299.90,4798
0,1,1,64,0,0,256,128,0.21,298.36,4774
0,1,1,64,0,0,256,256,0.21,297.84,4765
0,1,1,256,0,0,0,64,0.60,414.56,1658
0,1,1,256,0,0,0,128,0.60,416.01,1664
0,1,1,256,0,0,0,256,0.60,417.26,1669
0,1,1,256,0,0,64,0,0.53,468.21,1873
0,1,1,256,0,0,64,64,0.60,414.41,1657
0,1,1,256,0,0,64,128,0.60,416.11,1664
0,1,1,256,0,0,64,256,0.60,417.51,1670
0,1,1,256,0,0,128,0,0.53,468.26,1873
0,1,1,256,0,0,128,64,0.60,414.66,1658
0,1,1,256,0,0,128,128,0.60,416.31,1665
0,1,1,256,0,0,128,256,0.60,416.76,1667
0,1,1,256,0,0,256,0,0.53,467.86,1871
0,1,1,256,0,0,256,64,0.60,414.26,1657
0,1,1,256,0,0,256,128,0.60,416.01,1664
0,1,1,256,0,0,256,256,0.60,416.96,1668
0,1,4,1,0,0,0,64,0.07,13.57,13895
0,1,4,1,0,0,0,128,0.07,13.60,13929
0,1,4,1,0,0,0,256,0.07,13.54,13869
0,1,4,1,0,0,64,0,0.02,58.39,59790
0,1,4,1,0,0,64,64,0.07,13.59,13912
0,1,4,1,0,0,64,128,0.07,13.61,13934
0,1,4,1,0,0,64,256,0.07,13.55,13875
0,1,4,1,0,0,128,0,0.02,58.05,59443
0,1,4,1,0,0,128,64,0.07,13.55,13876
0,1,4,1,0,0,128,128,0.07,13.59,13911
0,1,4,1,0,0,128,256,0.07,13.55,13879
0,1,4,1,0,0,256,0,0.02,58.44,59837
0,1,4,1,0,0,256,64,0.07,13.58,13903
0,1,4,1,0,0,256,128,0.07,13.60,13921
0,1,4,1,0,0,256,256,0.07,13.54,13868
0,1,4,4,0,0,0,64,0.08,50.28,12872
0,1,4,4,0,0,0,128,0.08,50.25,12863
0,1,4,4,0,0,0,256,0.08,50.38,12896
0,1,4,4,0,0,64,0,0.02,183.13,46882
0,1,4,4,0,0,64,64,0.08,50.29,12875
0,1,4,4,0,0,64,128,0.08,50.25,12864
0,1,4,4,0,0,64,256,0.08,50.34,12888
0,1,4,4,0,0,128,0,0.02,183.03,46855
